DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
1969/10/02 04:56:45.30,38.49783,-122.66400,0.153,5.60,ML,38,104,52,0.22,NCSN,1003129
1969/10/02 06:19:56.39,38.45000,-122.75350,5.037,5.70,ML,53,139,58,0.22,NCSN,1003132
1972/02/24 15:56:50.99,36.59033,-121.19050,3.872,5.10,ML,10,128,6,0.06,NCSN,1009257
1974/11/28 23:01:24.59,36.92017,-121.46733,5.336,5.20,ML,51,61,4,0.13,NCSN,1021949
1975/06/07 08:46:23.51,40.54150,-124.27634,23.130,5.30,ML,15,176,5,0.04,NCSN,1024130
1975/08/01 20:20:12.90,39.43217,-121.54583,4.970,5.70,ML,0,0,0,0.00,NCSN,71105799
1975/08/02 20:22:16.57,39.44933,-121.47950,1.716,5.10,ML,7,102,2,0.06,NCSN,1025145
1975/08/02 20:58:56.01,39.43783,-121.48483,1.506,5.20,ML,7,146,2,0.03,NCSN,1025150
1975/11/16 17:29:40.25,40.62467,-125.31467,4.607,5.00,ML,13,319,91,0.15,NCSN,1027519
1976/11/26 11:19:32.07,41.03517,-124.94967,41.780,6.30,ML,13,318,73,0.09,NCSN,1032447
1978/10/04 16:42:47.75,37.51883,-118.70383,3.078,5.18,Md,29,174,60,0.20,NCSN,1042591
1978/10/04 17:39:02.46,37.55283,-118.65533,15.629,5.10,ML,142,89,54,0.40,NCSN,1042593
1978/12/03 06:48:08.69,40.62550,-125.72583,102.966,5.07,Md,13,317,123,0.17,NCSN,1043599
1979/02/03 09:58:16.99,40.87400,-124.32484,23.592,5.20,ML,15,236,20,0.08,NCSN,1044459
1979/02/22 15:57:28.60,39.98617,-120.11266,7.080,5.30,ML,44,77,20,0.13,NCSN,1044768
1979/04/07 06:18:54.62,41.12283,-124.99400,4.496,5.34,Md,10,318,85,0.13,NCSN,1045303
1979/08/06 17:05:22.93,37.10383,-121.51234,8.315,5.80,ML,90,97,6,0.06,NCSN,1046962
1979/10/07 20:54:40.75,38.24817,-119.32567,3.053,5.00,ML,12,139,52,0.06,NCSN,1048177
1980/01/24 19:00:08.58,37.84000,-121.76783,14.488,5.80,ML,76,69,5,0.13,NCSN,1050040
1980/01/24 19:01:01.54,37.81100,-121.77500,6.523,5.10,ML,10,149,3,0.21,NCSN,1050041
1980/01/27 02:33:35.34,37.74900,-121.70634,14.166,5.40,ML,73,102,9,0.10,NCSN,1050437
1980/03/03 14:17:03.33,40.41367,-125.14616,8.889,5.10,ML,30,288,69,0.10,NCSN,1051336
1980/05/25 16:33:44.00,37.59033,-118.83100,6.806,6.10,ML,12,159,1,0.15,NCSN,1053043
1980/05/25 16:49:27.16,37.67683,-118.89967,6.686,6.00,ML,44,55,7,1.35,NCSN,1053045
1980/05/25 19:44:50.91,37.55383,-118.80700,11.856,6.10,ML,7,191,4,0.10,NCSN,1053054
1980/05/25 20:35:47.93,37.61867,-118.83483,4.833,5.70,ML,5,182,12,0.04,NCSN,1053058
1980/05/25 20:59:22.37,37.60183,-118.81983,14.359,5.00,ML,6,92,1,0.02,NCSN,1053059
1980/05/26 12:24:24.97,37.56867,-118.86716,7.156,5.10,ML,11,204,6,0.07,NCSN,1053083
1980/05/26 18:57:55.59,37.52067,-118.87617,2.063,5.70,ML,13,211,9,0.03,NCSN,1053105
1980/05/27 14:50:56.81,37.50333,-118.80550,13.795,6.20,ML,20,183,5,0.12,NCSN,1053177
1980/06/29 07:46:13.24,38.01317,-118.66333,7.298,5.00,ML,20,78,11,0.14,NCSN,1054082
1980/08/01 16:38:55.88,37.56217,-118.87317,4.532,5.40,ML,14,180,5,0.09,NCSN,1054751
1980/09/07 01:30:42.04,38.07033,-118.57633,7.253,5.10,ML,13,95,18,0.07,NCSN,1055528
1980/09/07 04:36:37.47,38.06517,-118.58933,8.031,5.50,ML,13,96,16,0.08,NCSN,1055532
1980/09/07 06:48:09.88,38.06483,-118.59517,7.931,5.30,ML,13,110,16,0.07,NCSN,1055540
1980/11/08 10:27:33.20,41.08417,-124.61567,14.641,7.20,Mh,100,226,53,0.23,NCSN,1056775
1980/11/28 18:21:13.04,39.25150,-120.45383,5.921,5.10,ML,221,76,38,0.33,NCSN,1057587
1980/12/24 13:29:31.64,41.29900,-124.74433,2.821,5.00,ML,12,317,69,0.16,NCSN,1058482
1980/12/28 22:58:08.77,38.16367,-118.36667,6.042,5.00,ML,12,135,15,0.07,NCSN,1058632
1981/09/30 11:53:26.19,37.58383,-118.86450,3.126,5.90,ML,17,83,4,0.07,NCSN,1068066
1982/02/06 12:02:01.63,41.07950,-125.16300,5.162,5.20,ML,55,295,91,0.19,NCSN,1071848
1982/04/15 21:52:08.30,38.06367,-118.56200,21.344,5.10,ML,48,137,83,0.18,NCSN,1073746
1982/09/24 07:40:24.10,37.85333,-118.15650,9.347,5.50,ML,27,103,17,0.09,NCSN,1079443
1982/10/25 22:26:03.60,36.31983,-120.50616,11.370,5.40,ML,61,88,12,0.11,NCSN,1080773
1983/01/07 01:38:10.04,37.62150,-118.90183,4.706,5.40,ML,5,188,18,0.00,NCSN,1084017
1983/01/07 03:24:18.97,37.62867,-118.93500,3.681,5.30,ML,11,110,3,0.04,NCSN,1084069
1983/05/02 23:42:38.06,36.23167,-120.31200,9.578,6.70,ML,54,137,3,0.07,NCSN,1091100
1983/05/09 02:49:11.54,36.24633,-120.30083,12.916,5.20,ML,59,32,3,0.09,NCSN,1093715
1983/07/03 18:40:07.63,37.55700,-118.84583,8.706,5.30,ML,20,113,4,0.04,NCSN,1098008
1983/07/22 02:39:53.96,36.23567,-120.41383,7.265,5.37,Mx,46,47,7,0.09,NCSN,1098982
1983/07/25 22:31:39.48,36.22450,-120.40234,8.215,5.04,Md,46,41,6,0.08,NCSN,1099288
1983/08/24 13:36:28.83,40.37200,-124.92450,11.188,5.50,ML,41,257,54,0.14,NCSN,1100970
1983/08/29 10:10:30.83,35.83000,-121.35550,9.638,5.20,ML,98,180,7,0.19,NCSN,1101424
1983/09/09 09:16:13.51,36.21983,-120.27966,6.887,5.47,Md,45,125,7,0.05,NCSN,1102223
1983/12/20 10:41:02.25,40.40800,-125.64650,8.126,5.66,ML,84,287,118,0.23,NCSN,1108755
1984/01/23 05:40:19.61,36.37667,-121.89567,6.634,5.10,ML,140,192,20,0.21,NCSN,1110293
1984/02/16 11:14:56.93,39.99117,-117.84250,-1.148,5.05,ML,9,195,72,0.22,NCSN,1111391
1984/02/28 15:16:14.12,40.43083,-125.19517,7.931,5.20,ML,55,277,73,0.13,NCSN,8089
1984/04/24 21:15:18.76,37.30967,-121.67883,8.193,6.20,ML,98,26,6,0.06,NCSN,17204
1984/09/10 03:14:28.10,40.50383,-125.13033,4.333,6.60,ML,51,262,67,1.18,NCSN,27615
1984/11/23 18:08:25.36,37.45967,-118.60717,8.096,6.10,ML,30,66,13,0.08,NCSN,32321
1984/11/23 19:12:34.68,37.43217,-118.60717,10.516,5.50,ML,46,80,3,0.06,NCSN,32650
1984/11/26 16:21:40.81,37.44733,-118.64767,5.955,5.60,ML,34,125,10,0.05,NCSN,39753
1985/01/24 11:27:20.99,38.15650,-118.81550,10.093,5.20,ML,54,68,17,0.07,NCSN,38526
1985/02/08 06:58:16.41,35.46200,-118.90717,19.612,5.00,ML,83,73,39,0.24,NCSN,40330
1985/03/25 16:05:12.75,37.45250,-118.61166,5.757,5.10,ML,44,57,2,0.05,NCSN,44669
1985/08/04 12:01:55.87,36.14300,-120.15633,15.890,5.60,ML,39,163,10,0.08,NCSN,52348
1986/01/26 19:20:50.95,36.80433,-121.28500,8.153,5.50,ML,81,27,7,0.05,NCSN,64626
1986/03/31 11:55:39.81,37.47917,-121.68667,8.502,5.70,ML,84,65,3,0.06,NCSN,68932
1986/07/20 14:29:45.44,37.56667,-118.43816,5.044,5.90,ML,39,54,9,0.04,NCSN,99451
1986/07/21 14:42:26.00,37.53800,-118.44283,8.804,6.40,ML,41,55,10,0.06,NCSN,10085763
1986/07/21 14:51:09.37,37.49317,-118.45383,8.482,5.70,ML,27,198,13,0.04,NCSN,10085764
1986/07/21 22:07:15.64,37.62133,-118.34250,-0.076,5.60,ML,18,296,37,0.05,NCSN,95459
1986/07/22 13:48:59.15,37.52583,-118.47150,10.653,5.00,ML,32,65,9,0.04,NCSN,92934
